Record,Date,TIMEVALUE,Serial Time,Time Test,Temp (F),Temp (C ),dew_pt,hum,Wind Speed (mph),Wind Speed (m/s),Vh,Power Generation,KWH,Capacity Factor,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,Weather Condition,fog,rain,snow,hail,thunder,tornado,Condition
47,1/2/2016 22:51,10:51:00 PM,3660936660,1,36,2.22,19.9,52,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.99,28,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
48,1/2/2016 23:51,11:51:00 PM,3660940260,1,36,2.22,21.9,57,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.98,27.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
49,1/3/2016 0:51,12:51:00 AM,3660943860,1,36,2.22,21.9,57,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.96,27.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
50,1/3/2016 1:51,1:51:00 AM,3660947460,1,36,2.22,24.1,62,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.96,28,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
56,1/3/2016 7:51,7:51:00 AM,3660969060,1,39.9,4.39,27,60,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.87,32.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
57,1/3/2016 8:51,8:51:00 AM,3660972660,1,42.1,5.61,23,47,16.1,7.2,14.36,2000000,2000,1,NA,WSW,10,29.88,34.2,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
58,1/3/2016 9:51,9:51:00 AM,3660976260,1,45,7.22,23,42,17.3,7.73,15.43,2000000,2000,1,NA,WSW,10,29.88,37.6,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
59,1/3/2016 10:51,10:51:00 AM,3660979860,1,46.9,8.28,23,39,17.3,7.73,15.43,2000000,2000,1,NA,WSW,10,29.86,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
60,1/3/2016 11:51,11:51:00 AM,3660983460,1,48,8.89,21,34,20.7,9.25,18.46,2000000,2000,1,27.6,WSW,10,29.83,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
124,1/6/2016 3:51,3:51:00 AM,3661213860,1,25,-3.89,8.1,49,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.59,18.1,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
127,1/6/2016 6:51,6:51:00 AM,3661224660,1,26.1,-3.28,10.9,53,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.6,17.6,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
128,1/6/2016 7:51,7:51:00 AM,3661228260,1,26.1,-3.28,15.1,63,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.61,18.4,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
129,1/6/2016 8:51,8:51:00 AM,3661231860,1,30.9,-0.61,14,50,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.61,22.2,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
130,1/6/2016 9:51,9:51:00 AM,3661235460,1,33.1,0.61,10.9,40,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,30.61,23.9,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
132,1/6/2016 11:51,11:51:00 AM,3661242660,1,37,2.78,7,29,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.55,31,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
139,1/6/2016 18:51,6:51:00 PM,3661267860,1,37,2.78,12,36,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.46,29.8,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
142,1/6/2016 21:51,9:51:00 PM,3661278660,1,35.1,1.72,15.1,44,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.45,28.6,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
143,1/6/2016 22:51,10:51:00 PM,3661282260,1,33.1,0.61,19,56,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.44,26.1,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
146,1/7/2016 1:51,1:51:00 AM,3661293060,1,32,0,12.9,45,4.6,2.06,4.1,79945.8,79.95,0.04,NA,WSW,10,30.39,27.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
147,1/7/2016 2:51,2:51:00 AM,3661296660,1,28,-2.22,15.1,58,9.2,4.11,8.21,639566.42,639.57,0.32,NA,WSW,10,30.39,19.3,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
158,1/7/2016 13:51,1:51:00 PM,3661336260,1,44.1,6.72,9,24,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.26,39.5,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
235,1/10/2016 18:51,6:51:00 PM,3661613460,1,50,10,45,83,9.2,4.11,8.21,639566.42,639.57,0.32,NA,WSW,10,29.39,NA,NA,0,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
236,1/10/2016 19:51,7:51:00 PM,3661617060,1,53.1,11.72,41,64,23,10.28,20.52,2000000,2000,1,29.9,WSW,10,29.43,NA,NA,0,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
266,1/12/2016 1:51,1:51:00 AM,3661725060,1,27,-2.78,3.9,37,3.5,1.56,3.12,35214.89,35.21,0.02,NA,WSW,10,30.12,23,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
318,1/14/2016 5:51,5:51:00 AM,3661912260,1,25,-3.89,9,51,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,9,29.97,13.6,NA,0,NA,NA,Light Snow,0,0,1,0,0,0,5
319,1/14/2016 6:51,6:51:00 AM,3661915860,1,26.1,-3.28,12,55,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.98,15,NA,0,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
321,1/14/2016 8:51,8:51:00 AM,3661923060,1,28,-2.22,10,47,9.2,4.11,8.21,639566.42,639.57,0.32,NA,WSW,10,29.98,19.3,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
322,1/14/2016 9:51,9:51:00 AM,3661926660,1,30,-1.11,9,41,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.98,20.5,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
323,1/14/2016 10:51,10:51:00 AM,3661930260,1,32,0,9,38,15,6.71,13.38,2000000,2000,1,NA,WSW,10,29.97,21.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
324,1/14/2016 11:51,11:51:00 AM,3661933860,1,33.1,0.61,12,42,15,6.71,13.38,2000000,2000,1,NA,WSW,10,29.95,23,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
327,1/14/2016 14:51,2:51:00 PM,3661944660,1,37.9,3.28,17.1,43,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,29.93,29.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
408,1/17/2016 23:51,11:51:00 PM,3662236260,1,32,0,25,75,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.71,24.8,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
626,1/27/2016 1:51,1:51:00 AM,3663021060,1,42.1,5.61,33.1,70,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.94,37.1,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
627,1/27/2016 2:51,2:51:00 AM,3663024660,1,39,3.89,33.1,79,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.94,33.4,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
658,1/28/2016 9:51,9:51:00 AM,3663136260,1,36,2.22,26.1,67,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.02,31.1,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
659,1/28/2016 10:51,10:51:00 AM,3663139860,1,37.9,3.28,26.1,62,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.01,33.5,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
661,1/28/2016 12:51,12:51:00 PM,3663147060,1,39.9,4.39,25,55,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,29.92,35.1,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
662,1/28/2016 13:51,1:51:00 PM,3663150660,1,41,5,23,49,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.88,35.8,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
663,1/28/2016 14:51,2:51:00 PM,3663154260,1,42.1,5.61,23,47,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,29.85,37.7,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
666,1/28/2016 17:51,5:51:00 PM,3663165060,1,39,3.89,25,57,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.81,33.4,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
671,1/28/2016 22:51,10:51:00 PM,3663183060,1,37,2.78,24.1,59,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,29.7,32.4,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
673,1/29/2016 0:51,12:51:00 AM,3663190260,1,37.9,3.28,27,65,3.5,1.56,3.12,35214.89,35.21,0.02,NA,WSW,10,29.65,35.5,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
675,1/29/2016 2:51,2:51:00 AM,3663197460,1,35.1,1.72,25,67,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,29.6,30.1,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
707,1/30/2016 10:51,10:51:00 AM,3663312660,1,35.1,1.72,18,50,9.2,4.11,8.21,639566.42,639.57,0.32,NA,WSW,10,30.1,27.9,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
708,1/30/2016 11:51,11:51:00 AM,3663316260,1,35.1,1.72,19,52,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.09,29.3,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
753,2/1/2016 8:51,8:51:00 AM,3663478260,1,48.9,9.39,39.9,71,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.82,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
754,2/1/2016 9:51,9:51:00 AM,3663481860,1,54,12.22,41,62,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.81,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
871,2/6/2016 6:51,6:51:00 AM,3663903060,1,25,-3.89,17.1,72,4.6,2.06,4.1,79945.8,79.95,0.04,NA,WSW,10,30.43,19.3,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
874,2/6/2016 9:51,9:51:00 AM,3663913860,1,35.1,1.72,19,52,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.46,27.4,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
875,2/6/2016 10:51,10:51:00 AM,3663917460,1,36,2.22,19.9,52,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.44,29.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
877,2/6/2016 12:51,12:51:00 PM,3663924660,1,37,2.78,21.9,54,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.38,29.8,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
882,2/6/2016 17:51,5:51:00 PM,3663942660,1,37,2.78,23,57,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.31,31.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
886,2/6/2016 21:51,9:51:00 PM,3663957060,1,36,2.22,24.1,62,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,30.31,27.1,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
887,2/6/2016 22:51,10:51:00 PM,3663960660,1,35.1,1.72,24.1,64,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.31,27.4,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
888,2/6/2016 23:51,11:51:00 PM,3663964260,1,36,2.22,25,64,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,30.29,28,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
889,2/7/2016 0:51,12:51:00 AM,3663967860,1,35.1,1.72,25,67,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.26,29.3,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
890,2/7/2016 1:51,1:51:00 AM,3663971460,1,33.1,0.61,24.1,70,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.25,26.9,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
891,2/7/2016 2:51,2:51:00 AM,3663975060,1,34,1.11,27,75,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.26,26,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
892,2/7/2016 3:51,3:51:00 AM,3663978660,1,33.1,0.61,26.1,75,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.23,27.7,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
893,2/7/2016 4:51,4:51:00 AM,3663982260,1,33.1,0.61,26.1,75,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.21,26.9,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
895,2/7/2016 6:51,6:51:00 AM,3663989460,1,32,0,25,75,4.6,2.06,4.1,79945.8,79.95,0.04,NA,WSW,10,30.21,27.5,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
896,2/7/2016 7:51,7:51:00 AM,3663993060,1,32,0,25,75,4.6,2.06,4.1,79945.8,79.95,0.04,NA,WSW,10,30.21,27.5,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
966,2/10/2016 5:51,5:51:00 AM,3664245060,1,34,1.11,30,85,9.2,4.11,8.21,639566.42,639.57,0.32,NA,WSW,10,29.61,26.6,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
967,2/10/2016 6:51,6:51:00 AM,3664248660,1,35.1,1.72,28,76,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,9,29.62,27.4,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
978,2/10/2016 17:51,5:51:00 PM,3664288260,1,36,2.22,19,50,20.7,9.25,18.46,2000000,2000,1,NA,WSW,10,29.71,25,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1019,2/12/2016 10:51,10:51:00 AM,3664435860,1,23,-5,0,37,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.25,15.8,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1026,2/12/2016 17:51,5:51:00 PM,3664461060,1,26.1,-3.28,3.9,39,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,30.04,15,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1124,2/16/2016 19:51,7:51:00 PM,3664813860,1,46,7.78,37.9,73,15,6.71,13.38,2000000,2000,1,NA,WSW,10,29.62,39.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1126,2/16/2016 21:51,9:51:00 PM,3664821060,1,39.9,4.39,35.1,83,15,6.71,13.38,2000000,2000,1,NA,WSW,10,29.74,31.8,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1208,2/20/2016 7:51,7:51:00 AM,3665116260,1,43,6.11,30.9,62,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,30,36.4,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1209,2/20/2016 8:51,8:51:00 AM,3665119860,1,46.9,8.28,28.9,50,17.3,7.73,15.43,2000000,2000,1,NA,WSW,10,30,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1210,2/20/2016 9:51,9:51:00 AM,3665123460,1,50,10,30,46,18.4,8.23,16.41,2000000,2000,1,NA,WSW,10,29.98,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1211,2/20/2016 10:51,10:51:00 AM,3665127060,1,52,11.11,30.9,45,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,29.96,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1214,2/20/2016 13:51,1:51:00 PM,3665137860,1,55,12.78,34,45,18.4,8.23,16.41,2000000,2000,1,NA,WSW,10,29.91,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1215,2/20/2016 14:51,2:51:00 PM,3665141460,1,57,13.89,34,42,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.89,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1216,2/20/2016 15:51,3:51:00 PM,3665145060,1,57.9,14.39,34,41,16.1,7.2,14.36,2000000,2000,1,NA,WSW,10,29.86,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1217,2/20/2016 16:51,4:51:00 PM,3665148660,1,55,12.78,34,45,15,6.71,13.38,2000000,2000,1,NA,WSW,10,29.85,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
1222,2/20/2016 21:51,9:51:00 PM,3665166660,1,48.9,9.39,35.1,59,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,29.86,NA,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
1223,2/20/2016 22:51,10:51:00 PM,3665170260,1,46.9,8.28,36,66,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,29.84,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
1232,2/21/2016 7:51,7:51:00 AM,3665202660,1,45,7.22,36,71,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.96,40.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1332,2/25/2016 11:51,11:51:00 AM,3665562660,1,50,10,43,77,24.2,10.82,21.59,2000000,2000,1,29.9,WSW,10,29.29,NA,NA,0,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1335,2/25/2016 14:51,2:51:00 PM,3665573460,1,48,8.89,32,54,29.9,13.37,26.67,0,0,0,36.8,WSW,10,29.34,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1336,2/25/2016 15:51,3:51:00 PM,3665577060,1,46,7.78,32,58,23,10.28,20.52,2000000,2000,1,31.1,WSW,10,29.36,37.8,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
1337,2/25/2016 16:51,4:51:00 PM,3665580660,1,43,6.11,30.9,62,31.1,13.9,27.74,0,0,0,41.4,WSW,10,29.4,32.4,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
1338,2/25/2016 17:51,5:51:00 PM,3665584260,1,42.1,5.61,30.9,65,28.8,12.87,25.69,0,0,0,35.7,WSW,10,29.43,31.5,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1339,2/25/2016 18:51,6:51:00 PM,3665587860,1,42.1,5.61,30.9,65,29.9,13.37,26.67,0,0,0,38,WSW,10,29.46,31.3,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1340,2/25/2016 19:51,7:51:00 PM,3665591460,1,41,5,32,70,25.3,11.31,22.57,2000000,2000,1,33.4,WSW,10,29.48,30.7,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1341,2/25/2016 20:51,8:51:00 PM,3665595060,1,41,5,32,70,24.2,10.82,21.59,2000000,2000,1,29.9,WSW,10,29.49,30.9,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1387,2/27/2016 18:51,6:51:00 PM,3665760660,1,39,3.89,21.9,50,15,6.71,13.38,2000000,2000,1,NA,WSW,10,30.02,30.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1388,2/27/2016 19:51,7:51:00 PM,3665764260,1,39,3.89,21,49,16.1,7.2,14.36,2000000,2000,1,NA,WSW,10,30.02,30.3,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1389,2/27/2016 20:51,8:51:00 PM,3665767860,1,39,3.89,21.9,50,15,6.71,13.38,2000000,2000,1,NA,WSW,10,30.02,30.6,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1390,2/27/2016 21:51,9:51:00 PM,3665771460,1,39,3.89,23,53,16.1,7.2,14.36,2000000,2000,1,NA,WSW,10,30.02,30.3,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1391,2/27/2016 22:51,10:51:00 PM,3665775060,1,37.9,3.28,23,55,15,6.71,13.38,2000000,2000,1,NA,WSW,10,30.02,29.2,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
1392,2/27/2016 23:51,11:51:00 PM,3665778660,1,37.9,3.28,24.1,57,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,30.01,30,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1394,2/28/2016 1:51,1:51:00 AM,3665785860,1,39,3.89,24.1,55,16.1,7.2,14.36,2000000,2000,1,NA,WSW,10,29.99,30.3,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1395,2/28/2016 2:51,2:51:00 AM,3665789460,1,37,2.78,25,62,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,29.97,29.8,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1396,2/28/2016 3:51,3:51:00 AM,3665793060,1,37,2.78,25,62,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.98,29.3,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1404,2/28/2016 11:51,11:51:00 AM,3665821860,1,54,12.22,27,35,19.6,8.76,17.48,2000000,2000,1,NA,WSW,10,29.96,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
1405,2/28/2016 12:51,12:51:00 PM,3665825460,1,57,13.89,28,33,18.4,8.23,16.41,2000000,2000,1,NA,WSW,10,29.91,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1427,2/29/2016 10:51,10:51:00 AM,3665904660,1,51.1,10.61,35.1,54,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,29.65,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1428,2/29/2016 11:51,11:51:00 AM,3665908260,1,48,8.89,41,77,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,8,29.65,NA,NA,0.03,NA,NA,Light Rain,0,1,0,0,0,0,5
1430,2/29/2016 13:51,1:51:00 PM,3665915460,1,55.9,13.28,45,67,15,6.71,13.38,2000000,2000,1,NA,WSW,10,29.64,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1437,2/29/2016 20:51,8:51:00 PM,3665940660,1,48.9,9.39,28.9,46,20.7,9.25,18.46,2000000,2000,1,NA,WSW,10,29.9,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
1440,2/29/2016 23:51,11:51:00 PM,3665951460,1,43,6.11,30,60,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,29.96,38.2,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
1500,3/3/2016 11:51,11:51:00 AM,3666167460,1,34,1.11,5,30,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.28,28,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1501,3/3/2016 12:51,12:51:00 PM,3666171060,1,34,1.11,5,30,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.25,27.2,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1559,3/5/2016 22:51,10:51:00 PM,3666379860,1,34,1.11,23,64,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.22,28,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1560,3/5/2016 23:51,11:51:00 PM,3666383460,1,35.1,1.72,25,67,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.22,29.3,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1575,3/6/2016 14:51,2:51:00 PM,3666437460,1,43,6.11,18,37,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,30.28,36.8,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1591,3/7/2016 6:51,6:51:00 AM,3666495060,1,37,2.78,30,76,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,30.3,28.5,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1604,3/7/2016 19:51,7:51:00 PM,3666541860,1,50,10,37,61,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,30.06,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1605,3/7/2016 20:51,8:51:00 PM,3666545460,1,51.1,10.61,37,59,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.07,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1654,3/9/2016 21:51,9:51:00 PM,3666721860,1,57.9,14.39,46,65,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,30.04,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1677,3/10/2016 20:51,8:51:00 PM,3666804660,1,60.1,15.61,48,64,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,29.9,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1687,3/11/2016 6:51,6:51:00 AM,3666840660,1,55.9,13.28,53.1,90,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.02,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1725,3/12/2016 20:51,8:51:00 PM,3666977460,1,53.1,11.72,42.1,66,15,6.71,13.38,2000000,2000,1,NA,WSW,10,30.06,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1726,3/12/2016 21:51,9:51:00 PM,3666981060,1,54,12.22,41,62,13.8,6.17,12.31,2000000,2000,1,NA,WSW,10,30.04,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1727,3/12/2016 22:51,10:51:00 PM,3666984660,1,52,11.11,41,66,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,30.03,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1728,3/12/2016 23:51,11:51:00 PM,3666988260,1,50,10,42.1,74,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,30.02,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1729,3/13/2016 0:51,12:51:00 AM,3666991860,1,51.1,10.61,42.1,71,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.01,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
